"Events","phoneNumber"
"[{""EventType"":""Ported"",""LastChangedDate"":""2011-05-05T16:26:10Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-02-12T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-13T23:59:59Z""}]","61011011141"
"[{""EventType"":""Ported"",""LastChangedDate"":""2016-11-02T22:31:03Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-26T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-26T23:59:59Z""}]","61011051114"
"[{""EventType"":""Ported"",""LastChangedDate"":""2019-10-18T15:36:15Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-04-25T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-04-25T23:59:59Z""}]","61011051561"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-05-10T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-05-10T23:59:59Z""}]","61011106044"
"","61011111104"
"[{""EventType"":""MSISDNChange"",""LastChangedDate"":""2016-07-21T22:36:00Z""},{""EventType"":""Ported"",""LastChangedDate"":""2016-11-21T23:57:06Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-02-11T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2016-11-21T23:57:06Z""}]","61011111104"
"","61011111111"
"[{""EventType"":""Ported"",""LastChangedDate"":""2016-05-09T01:03:27Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-04T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-08T23:59:59Z""}]","61011111401"
"","61011116416"
"[{""EventType"":""Ported"",""LastChangedDate"":""2012-02-17T00:50:08Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-05T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-01-05T23:59:59Z""}]","61011116664"
